Answer Options,Frequently,Sometimes,Occasionally,Never,Response Count
Presentations (e.g Pwpt),119,23,14,6,162
Search Engines (e.g. Google),58,44,39,12,152
Online Video (e.g. Youtube),56,61,35,6,158
"E-dictionaries (e.g. Wenlin, Clavis Sinica)",29,37,33,37,136
Self-created Webpages,22,28,34,56,139
"Quiz makers (e.g Quia.com, Question Writer)",21,15,22,74,132
Social Networking (e.g. Facebook),8,17,33,75,132
Wiki (e.g. Wimba Wiki),6,13,37,77,133
iPad Applications,6,18,26,82,132
iPhone Applications,6,12,22,90,130
Podcasts (e.g. Wimba Podcaster),5,17,37,73,132
Blogs (e.g. Blogger),4,17,41,67,129
